XCoord,YCoord,OBJECTID,CLASS,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_9,BAND_10,BAND_11,BAND_12,BAND_13,BAND_14,BAND_15,BAND_16
8090093.94680000,2634496.48270000,1,1,150,119,141,46,100,79,94,31,5,5,5,3,750,740,600,463
8083599.95690000,2637024.12440000,2,1,150,120,144,49,100,80,96,33,4,4,4,2,600,528,600,245
8090177.19200000,2634501.55840000,3,1,150,124,147,44,100,83,98,29,10,7,6,3,1500,905,900,490
8090120.78370000,2634535.36670000,4,1,147,121,147,49,98,81,98,32,11,6,5,4,1617,785,721,497
8077528.47780000,2627929.04070000,5,1,148,116,138,45,99,77,92,30,5,5,4,3,740,591,450,349
8083592.02000000,2637067.40160000,6,1,147,98,138,65,98,66,92,44,4,3,4,2,588,451,588,312
8083577.41630000,2611145.88810000,7,1,123,38,0,53,82,25,0,35,5,2,0,3,615,193,0,276
8083620.80640000,2637068.60170000,8,1,130,92,129,65,87,61,86,43,4,3,4,2,520,432,564,317
8066674.61900000,2645545.73090000,9,1,150,131,144,32,100,87,96,21,13,8,7,3,1950,1042,900,481
8090124.36230000,2634513.48480000,10,1,150,121,145,48,100,81,97,32,11,6,5,4,1650,798,740,497
8090397.26240000,2642969.52330000,11,1,150,78,96,64,100,52,64,43,7,4,5,3,1050,494,574,424
8083606.60970000,2637076.16490000,12,1,127,96,135,65,85,64,90,44,4,3,4,2,508,447,580,315
8066666.84660000,2645508.93990000,13,1,150,133,145,31,100,89,97,21,11,8,6,3,1650,1053,900,477
8076999.04520000,2627327.21840000,14,1,150,115,127,39,100,77,85,26,7,5,5,2,1050,632,650,272
8083581.31790000,2637039.72790000,15,1,150,113,144,58,100,75,96,39,4,3,4,2,600,494,600,276
8083575.58990000,2611173.16530000,16,1,118,36,0,51,79,24,0,34,6,2,0,3,708,185,0,275
8071867.20150000,2660736.22530000,17,1,82,75,81,43,55,50,54,29,4,3,4,2,328,300,304,191
8080959.00570000,2622782.88320000,18,1,150,97,144,67,100,65,96,44,5,3,4,2,750,471,600,338
8083566.32110000,2637053.38580000,19,1,150,108,142,62,100,72,95,41,5,3,4,2,750,480,600,288
8083585.73370000,2637019.37350000,20,1,150,123,144,48,100,82,96,32,4,4,4,2,600,531,600,239
8090430.49640000,2643030.00190000,21,1,150,80,105,62,100,53,70,42,7,4,5,3,1050,520,590,425
8082763.06410000,2612209.05170000,22,1,144,88,115,56,96,59,77,37,2,2,2,1,288,233,240,178
8083567.09950000,2637033.55910000,23,1,150,121,144,52,100,81,96,34,4,4,4,2,600,521,600,249
8083588.09700000,2637047.53270000,24,1,150,110,142,59,100,74,95,39,4,4,4,2,600,490,600,281
8090164.89520000,2634443.45200000,25,1,150,129,145,37,100,86,97,25,6,7,8,3,900,1005,1128,468
8083575.10400000,2637052.26760000,26,1,150,107,142,62,100,71,95,41,4,3,4,2,600,475,600,293
8083618.14750000,2637055.82700000,27,1,129,100,136,63,86,67,91,42,4,3,4,2,516,461,580,305
8083582.23030000,2637019.20260000,28,1,150,125,145,47,100,84,97,31,4,4,4,2,600,535,600,232
8083598.21370000,2611152.32260000,29,1,45,44,0,54,30,29,0,36,6,2,0,3,270,224,0,286
8090205.63670000,2634472.71040000,30,1,150,128,148,42,100,86,99,28,9,7,8,3,1350,973,1015,476
